TimeFrom,TimeTo,UnitName,ProducedHeat,ProducedElectricity,ConsumedElectricity,Expenses,Profit,PrimaryEnergyConsumption,CO2Emissions
2/8/2023 0:00,2/8/2023 1:00,OB,4.0,0,0,2800.0,0,7.944,1060.0
2/8/2023 0:00,2/8/2023 1:00,GB,2.620,0,0,1310.000,0,2.8820,563.300
2/8/2023 1:00,2/8/2023 2:00,OB,4.0,0,0,2800.0,0,8.220,1060.0
2/8/2023 1:00,2/8/2023 2:00,GB,2.850,0,0,1425.000,0,3.1350,612.750
2/8/2023 2:00,2/8/2023 3:00,OB,4.0,0,0,2800.0,0,8.376,1060.0
2/8/2023 2:00,2/8/2023 3:00,GB,2.980,0,0,1490.000,0,3.2780,640.700
2/8/2023 3:00,2/8/2023 4:00,OB,4.0,0,0,2800.0,0,8.448,1060.0
2/8/2023 3:00,2/8/2023 4:00,GB,3.040,0,0,1520.000,0,3.3440,653.600
2/8/2023 4:00,2/8/2023 5:00,GB,3.720,0,0,1860.000,0,4.0920,799.800
2/8/2023 4:00,2/8/2023 5:00,OB,4.0,0,0,2800.0,0,9.264,1060.0
2/8/2023 5:00,2/8/2023 6:00,OB,4.0,0,0,2800.0,0,9.420,1060.0
2/8/2023 5:00,2/8/2023 6:00,GB,3.850,0,0,1925.000,0,4.2350,827.750
2/8/2023 6:00,2/8/2023 7:00,OB,4.0,0,0,2800.0,0,9.780,1060.0
2/8/2023 6:00,2/8/2023 7:00,GB,4.150,0,0,2075.000,0,4.5650,892.250
2/8/2023 7:00,2/8/2023 8:00,OB,4.0,0,0,2800.0,0,9.144,1060.0
2/8/2023 7:00,2/8/2023 8:00,GB,3.620,0,0,1810.000,0,3.9820,778.300
2/8/2023 8:00,2/8/2023 9:00,OB,4.0,0,0,2800.0,0,9.060,1060.0
2/8/2023 8:00,2/8/2023 9:00,GB,3.550,0,0,1775.000,0,3.9050,763.250
2/8/2023 9:00,2/8/2023 10:00,GB,3.600,0,0,1800.000,0,3.9600,774.000
2/8/2023 9:00,2/8/2023 10:00,OB,4.0,0,0,2800.0,0,9.120,1060.0
2/8/2023 10:00,2/8/2023 11:00,OB,4.0,0,0,2800.0,0,9.300,1060.0
2/8/2023 10:00,2/8/2023 11:00,GB,3.750,0,0,1875.000,0,4.1250,806.250
2/8/2023 11:00,2/8/2023 12:00,OB,4.0,0,0,2800.0,0,8.472,1060.0
2/8/2023 11:00,2/8/2023 12:00,GB,3.060,0,0,1530.000,0,3.3660,657.900
2/8/2023 12:00,2/8/2023 13:00,OB,4.0,0,0,2800.0,0,8.016,1060.0
2/8/2023 12:00,2/8/2023 13:00,GB,2.680,0,0,1340.000,0,2.9480,576.200
2/8/2023 13:00,2/8/2023 14:00,OB,4.0,0,0,2800.0,0,8.076,1060.0
2/8/2023 13:00,2/8/2023 14:00,GB,2.730,0,0,1365.000,0,3.0030,586.950
2/8/2023 14:00,2/8/2023 15:00,GB,2.840,0,0,1420.000,0,3.1240,610.600
